location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,total_tests,new_tests,total_tests_per_thousand,positive_rate
Austria,2020-02-25,2.0,,,,,,0.222,,,,,
Austria,2020-02-26,2.0,0.0,,,,,0.222,,,,,
Austria,2020-02-27,3.0,1.0,,,,,0.33299999999999996,,,,,
Austria,2020-02-28,3.0,0.0,,,,,0.33299999999999996,,,,,
Austria,2020-02-29,9.0,6.0,,,,,0.9990000000000001,,,,,
Austria,2020-03-01,14.0,5.0,,,,,1.554,,,,,
Austria,2020-03-02,18.0,4.0,2.286,,,0.0,1.999,,,,,
Austria,2020-03-03,21.0,3.0,2.714,,,0.0,2.332,,,,,
Austria,2020-03-04,29.0,8.0,3.8569999999999998,,,0.0,3.22,,,,,
Austria,2020-03-05,41.0,12.0,5.428999999999999,,,0.0,4.552,,,,,
Austria,2020-03-06,55.0,14.0,7.428999999999999,,,0.0,6.107,,,,,
Austria,2020-03-07,79.0,24.0,10.0,,,0.0,8.772,,,,,
Austria,2020-03-08,104.0,25.0,12.857000000000001,,,0.0,11.547,,,,,
Austria,2020-03-09,131.0,27.0,16.143,,,0.0,14.545,,,,,
Austria,2020-03-10,182.0,51.0,23.0,,,0.0,20.208,,,,,
Austria,2020-03-11,246.0,64.0,31.0,,,0.0,27.314,,,,,
Austria,2020-03-12,302.0,56.0,37.286,1.0,,0.0,33.532,0.111,,,,
Austria,2020-03-13,504.0,202.0,64.143,1.0,0.0,0.0,55.96,0.111,,,,
Austria,2020-03-14,655.0,151.0,82.286,1.0,0.0,0.0,72.726,0.111,,,,
Austria,2020-03-15,860.0,205.0,108.0,1.0,0.0,0.0,95.488,0.111,,,,
Austria,2020-03-16,1018.0,158.0,126.714,3.0,2.0,0.28600000000000003,113.031,0.33299999999999996,,,,
Austria,2020-03-17,1332.0,314.0,164.28599999999997,3.0,0.0,0.28600000000000003,147.895,0.33299999999999996,,,,
Austria,2020-03-18,1646.0,314.0,200.0,4.0,1.0,0.429,182.75900000000001,0.444,,,,
Austria,2020-03-19,2013.0,367.0,244.429,6.0,2.0,0.7140000000000001,223.50799999999998,0.6659999999999999,,,,
Austria,2020-03-20,2388.0,375.0,269.143,6.0,0.0,0.7140000000000001,265.145,0.6659999999999999,,,,
Austria,2020-03-21,2814.0,426.0,308.42900000000003,8.0,2.0,1.0,312.444,0.888,,,,
Austria,2020-03-22,3582.0,768.0,388.85699999999997,16.0,8.0,2.1430000000000002,397.717,1.777,,,,
Austria,2020-03-23,4474.0,892.0,493.714,21.0,5.0,2.571,496.75800000000004,2.332,,,,
Austria,2020-03-24,5283.0,809.0,564.429,28.0,7.0,3.571,586.5830000000001,3.109,,,,
Austria,2020-03-25,5588.0,305.0,563.143,30.0,2.0,3.714,620.448,3.3310000000000004,,,,
Austria,2020-03-26,6909.0,1321.0,699.429,49.0,19.0,6.143,767.1210000000001,5.441,,,,
Austria,2020-03-27,7657.0,748.0,752.7139999999999,58.0,9.0,7.428999999999999,850.173,6.44,,,,
Austria,2020-03-28,8271.0,614.0,779.571,68.0,10.0,8.571,918.347,7.55,,,,
Austria,2020-03-29,8788.0,517.0,743.7139999999999,86.0,18.0,10.0,975.7510000000001,9.549,,,,
Austria,2020-03-30,9618.0,830.0,734.857,108.0,22.0,12.429,1067.907,11.991,,,,
Austria,2020-03-31,10180.0,562.0,699.571,128.0,20.0,14.286,1130.307,14.212,,,,
Austria,2020-04-01,10711.0,531.0,731.857,146.0,18.0,16.570999999999998,1189.265,16.211,16834.0,,1.869,
Austria,2020-04-02,11129.0,418.0,602.857,158.0,12.0,15.571,1235.677,17.543,92190.0,75356.0,10.236,
Austria,2020-04-03,11524.0,395.0,552.429,168.0,10.0,15.714,1279.535,18.653,98343.0,6153.0,10.919,
Austria,2020-04-04,11781.0,257.0,501.42900000000003,186.0,18.0,16.857,1308.07,20.651999999999997,104134.0,5791.0,11.562000000000001,
Austria,2020-04-05,12051.0,270.0,466.14300000000003,204.0,18.0,16.857,1338.0479999999998,22.651,108416.0,4282.0,12.038,
Austria,2020-04-06,12297.0,246.0,382.714,220.0,16.0,16.0,1365.362,24.427,111296.0,2880.0,12.357000000000001,
Austria,2020-04-07,12639.0,342.0,351.286,243.0,23.0,16.429000000000002,1403.335,26.980999999999998,115235.0,3939.0,12.795,
Austria,2020-04-08,12942.0,303.0,318.714,273.0,30.0,18.143,1436.9779999999998,30.311999999999998,120755.0,5520.0,13.408,0.021
Austria,2020-04-09,13244.0,302.0,302.143,295.0,22.0,19.570999999999998,1470.51,32.754,126287.0,5532.0,14.022,0.062
Austria,2020-04-10,13555.0,311.0,290.143,319.0,24.0,21.570999999999998,1505.0410000000002,35.419000000000004,134743.0,8456.0,14.960999999999999,0.055999999999999994
Austria,2020-04-11,13806.0,251.0,289.286,337.0,18.0,21.570999999999998,1532.91,37.418,140975.0,6232.0,15.652999999999999,0.055
Austria,2020-04-12,13945.0,139.0,270.57099999999997,350.0,13.0,20.857,1548.3429999999998,38.861,144877.0,3902.0,16.086,0.052000000000000005
Austria,2020-04-13,14041.0,96.0,249.143,368.0,18.0,21.143,1559.0020000000002,40.86,148412.0,3535.0,16.479,0.047
Austria,2020-04-14,14226.0,185.0,226.71400000000003,384.0,16.0,20.143,1579.543,42.636,151796.0,3384.0,16.854,0.043
Austria,2020-04-15,14336.0,110.0,199.143,393.0,9.0,17.143,1591.757,43.636,156801.0,5005.0,17.41,0.039
Austria,2020-04-16,14476.0,140.0,176.0,410.0,17.0,16.429000000000002,1607.3010000000002,45.523,162816.0,6015.0,18.078,0.034
Austria,2020-04-17,14595.0,119.0,148.571,431.0,21.0,16.0,1620.514,47.855,169272.0,6456.0,18.795,0.03
Austria,2020-04-18,14671.0,76.0,123.571,443.0,12.0,15.142999999999999,1628.953,49.187,175932.0,6660.0,19.534000000000002,0.025
Austria,2020-04-19,14749.0,78.0,114.85700000000001,452.0,9.0,14.571,1637.6129999999998,50.187,179244.0,3312.0,19.902,0.023
Austria,2020-04-20,14795.0,46.0,107.714,470.0,18.0,14.571,1642.721,52.185,182949.0,3705.0,20.313,0.022000000000000002
